variable,coefficient,std_error,t_stat,p_value,significance
Intercept,-0.0093,0.4855,-0.0191,0.9848,
ln_rank,0.426,0.0866,4.9168,0.0,***
ln_exchanges,-0.1086,0.0371,-2.9288,0.0034,***
ln_pair_count,0.0593,0.0253,2.3456,0.019,**
month_2,-0.3413,0.0903,-3.7805,0.0002,***
month_3,-0.3312,0.0943,-3.5113,0.0004,***
month_4,-0.5221,0.1014,-5.1485,0.0,***
month_5,-0.5697,0.069,-8.2571,0.0,***
month_6,-0.9346,0.1042,-8.9664,0.0,***
binance_only,-0.2999,0.0689,-4.3546,0.0,***
bittrex_only,-0.0897,0.0851,-1.0542,0.2918,
binance_bittrex,-0.3278,0.0803,-4.0836,0.0,***
other_exchange,0.2822,0.1371,2.0577,0.0396,**
ln_server_members,-0.0212,0.0214,-0.9903,0.322,
