variable,coefficient,std_error,t_stat,p_value,significance
Intercept,0.0158,0.3035,0.052,0.9585,
ln_rank,0.4155,0.0396,10.4839,0.0,***
ln_exchanges,-0.1341,0.02,-6.6966,0.0,***
ln_pair_count,0.0615,0.0161,3.8141,0.0001,***
month_2,-0.2188,0.0531,-4.124,0.0,***
month_3,-0.1114,0.0585,-1.9037,0.0569,*
month_4,-0.3773,0.0534,-7.0646,0.0,***
month_5,-0.802,0.0579,-13.8596,0.0,***
month_6,-0.6822,0.0684,-9.9751,0.0,***
binance_only,-0.3307,0.0482,-6.8663,0.0,***
bittrex_only,-0.167,0.0464,-3.6011,0.0003,***
binance_bittrex,-0.4915,0.0693,-7.0972,0.0,***
other_exchange,0.2059,0.0579,3.5538,0.0004,***
ln_views,-0.0191,0.0205,-0.9297,0.3526,
