platform,pump_id,month,coin_rank,n_exchanges,pair_count,channel,exchange,max_price_inc_pct,post_pump_change_pct,server_members,views,pump_type,date
Telegram,1,2,216,36,49,PumpHunters,None,4.3848,-60.4107,0,28821,target,2018-02-06
Telegram,2,1,36,53,107,Crypto4Pumps,Bittrex,6.1217,-37.758,0,1890,target,2018-01-29
Telegram,3,5,213,32,82,CryptoPumpAlerts,Binance,1.1824,-21.6285,0,10315,target,2018-05-13
Telegram,4,5,120,39,3,CryptoPumpAlerts,Binance,0.7062,-73.7784,0,5996,target,2018-05-14
Telegram,5,2,206,9,1,PureInvestments,Binance,4.8727,16.2052,0,5616,target,2018-02-22
Telegram,6,4,2036,2,1,CryptoCartelOriginal,Binance,7.778,11.1751,0,1867,target,2018-04-23
Telegram,7,2,1171,25,11,Crypto4Pumps,Binance,11.1319,-18.0013,0,1540,target,2018-02-16
Telegram,8,4,68,17,5,CryptoCartelOriginal,None,2.3756,-71.725,0,9008,target,2018-04-28
Telegram,9,4,412,2,1,Big Pump Signal,Binance,4.1495,-50.2169,0,2320,target,2018-04-18
Telegram,10,2,513,19,5,Crypto4Pumps,Bittrex,4.7791,-2.6371,0,15931,target,2018-02-26
Telegram,11,5,185,14,10,Big Pump Signal,None,3.4228,-43.6704,0,2873,obvious,2018-05-14
Telegram,12,4,294,38,3,Crypto4Pumps,None,5.2211,7.9764,0,10762,target,2018-04-07
Telegram,13,5,321,12,90,Crypto4Pumps,None,5.9335,-37.1926,0,4162,target,2018-05-04
Telegram,14,4,74,18,7,AlphaPumpLeague,None,1.5654,-62.4364,0,3997,target,2018-04-17
Telegram,15,4,99,65,113,CryptoPumpAlerts,Bittrex,2.4016,-46.0673,0,3131,target,2018-04-27
Telegram,16,3,292,2,1,CryptoPumpAlerts,Binance,3.7815,4.6837,0,9775,obvious,2018-03-14
Telegram,17,2,274,6,4,Big Pump Signal,Binance,3.3404,-31.448,0,12363,target,2018-02-21
Telegram,18,5,132,6,2,Big Pump Signal,Binance,2.7536,-46.9081,0,5184,target,2018-05-16
Telegram,19,4,122,2,1,Crypto4Pumps,None,5.781,-15.3674,0,11133,target,2018-04-25
Telegram,20,3,231,24,7,Big Pump Signal,None,16.9305,13.9843,0,6836,target,2018-03-25
Telegram,21,6,555,4,9,CryptoPumpAlerts,None,5.9344,-48.0906,0,2197,target,2018-06-20
Telegram,22,5,234,25,1,Crypto4Pumps,None,1.0725,-0.5883,0,9306,target,2018-05-11
Telegram,23,1,1075,7,8,Crypto4Pumps,None,23.4212,9.6853,0,5250,target,2018-01-13
Telegram,24,2,134,25,12,MoonPumpSignals,Binance+Bittrex,0.8856,-66.6653,0,746,target,2018-02-14
Telegram,25,4,298,6,1,AlphaPumpLeague,None,0.9763,-75.5838,0,4866,target,2018-04-25
Telegram,26,1,182,6,25,Big Pump Signal,Binance+Bittrex,8.7192,-55.4802,0,1623,target,2018-01-19
Telegram,27,6,424,9,35,ElitePumpGroup,Binance,4.2114,11.9535,0,2395,target,2018-06-05
Telegram,28,4,124,34,1,MoonPumpSignals,None,1.1005,9.5046,0,5484,target,2018-04-09
Telegram,29,1,1413,4,1,PumpHunters,None,9.5465,2.7631,0,6348,target,2018-01-10
Telegram,30,4,55,11,10,ElitePumpGroup,None,2.2439,-49.4819,0,3346,target,2018-04-19
Telegram,31,2,1168,1,1,CoinPumpNation,Binance+Bittrex,19.375,13.657,0,10549,target,2018-02-22
Telegram,32,4,271,12,31,AlphaPumpLeague,None,3.0848,-65.5547,0,6142,target,2018-04-05
Telegram,33,2,411,5,9,Crypto4Pumps,Other,2.8565,-28.5825,0,4731,obvious,2018-02-21
Telegram,34,5,830,5,2,PumpKingCrypto,None,3.1111,-60.3675,0,7016,target,2018-05-19
Telegram,35,5,541,6,38,MoonPumpSignals,Bittrex,3.0465,-51.5174,0,18677,target,2018-05-07
Telegram,36,6,130,9,11,AlphaPumpLeague,Binance,1.1232,-36.4857,0,1104,target,2018-06-04
Telegram,37,2,429,11,2,PumpKingCrypto,Bittrex,7.8667,-37.2368,0,20225,target,2018-02-04
Telegram,38,3,1339,8,1,CryptoRocketPumps,None,56.1464,13.6655,0,4022,target,2018-03-25
Telegram,39,5,113,90,206,MoonPumpSignals,None,2.8281,-41.8534,0,3508,obvious,2018-05-08
Telegram,40,3,1677,8,1,ElitePumpGroup,Bittrex,2.9461,4.5795,0,4819,target,2018-03-07
Telegram,41,3,354,38,10,PureInvestments,Binance,3.2237,-27.4253,0,3203,target,2018-03-14
Telegram,42,6,169,6,1,CryptoCartelOriginal,Binance,6.4525,-56.8695,0,2814,target,2018-06-19
Telegram,43,5,112,3,1,CoinPumpNation,None,1.0821,-25.5038,0,13810,target,2018-05-14
Telegram,44,5,205,11,3,CryptoCartelOriginal,None,0.9836,2.6001,0,7738,target,2018-05-18
Telegram,45,3,43,52,4,Big Pump Signal,None,6.0012,10.9418,0,1343,obvious,2018-03-12
Telegram,46,4,172,24,43,AlphaPumpLeague,Binance,3.2425,-11.3221,0,11939,target,2018-04-13
Telegram,47,4,198,35,9,PureInvestments,Binance,2.8094,-57.7969,0,10559,target,2018-04-18
Telegram,48,4,95,1,3,MoonPumpSignals,None,8.1252,-37.8519,0,1935,target,2018-04-20
Telegram,49,1,490,24,14,Big Pump Signal,None,28.5308,-16.2749,0,7874,target,2018-01-23
Telegram,50,5,206,16,32,Crypto4Pumps,Binance,0.6041,4.7242,0,11411,target,2018-05-26
Telegram,51,3,141,3,2,Crypto4Pumps,Binance,9.2855,4.2523,0,1749,target,2018-03-11
Telegram,52,4,187,23,50,Crypto4Pumps,Bittrex,2.4113,-28.9837,0,8603,obvious,2018-04-04
Telegram,53,5,344,11,8,ElitePumpGroup,Binance,1.9414,-33.1961,0,3829,target,2018-05-03
Telegram,54,5,267,14,7,PumpMasterBTC,Binance,0.4425,-55.8401,0,10682,target,2018-05-21
Telegram,55,2,133,35,60,ElitePumpGroup,None,9.7359,6.4617,0,3079,target,2018-02-12
Telegram,56,4,280,15,138,CryptoPumpAlerts,Bittrex,5.6094,-22.6855,0,16282,target,2018-04-13
Telegram,57,4,239,3,1,CryptoRocketPumps,Bittrex,2.3233,-58.0529,0,5509,target,2018-04-23
Telegram,58,2,90,15,16,PumpMasterBTC,None,12.6472,6.6199,0,4028,target,2018-02-20
Telegram,59,1,193,2,1,ElitePumpGroup,Bittrex,19.1083,-63.1835,0,3679,target,2018-01-28
Telegram,60,4,421,15,11,CryptoPumpAlerts,Other,10.5337,-55.1144,0,14130,target,2018-04-27
Telegram,61,5,418,30,13,ElitePumpGroup,None,2.6262,-42.9918,0,3677,obvious,2018-05-23
Telegram,62,6,204,3,1,CryptoPumpAlerts,Bittrex,8.0608,14.4221,0,16534,target,2018-06-19
Telegram,63,3,460,4,1,Crypto4Pumps,None,3.9426,17.0092,0,8097,target,2018-03-28
Telegram,64,3,104,7,9,MoonPumpSignals,Bittrex,6.1622,-38.8437,0,2104,target,2018-03-06
Telegram,65,2,107,10,1,ElitePumpGroup,Binance,3.0887,-41.2391,0,6914,target,2018-02-28
Telegram,66,6,200,17,22,CryptoPumpAlerts,Binance,1.3812,-63.2404,0,7036,obvious,2018-06-12
Telegram,67,5,961,3,1,AlphaPumpLeague,None,6.7783,11.9827,0,2047,target,2018-05-08
Telegram,68,6,290,18,5,PumpMasterBTC,Binance+Bittrex,0.5293,-57.6082,0,6811,target,2018-06-16
Telegram,69,4,195,31,42,PumpHunters,None,1.2075,-61.8488,0,10682,target,2018-04-27
Telegram,70,2,1002,15,14,Big Pump Signal,Binance,39.2466,-75.9367,0,17505,target,2018-02-03
Telegram,71,4,193,4,2,Big Pump Signal,None,3.1905,-1.1471,0,16870,target,2018-04-06
Telegram,72,3,1862,14,20,MoonPumpSignals,Binance,9.8965,-42.911,0,50663,target,2018-03-21
Telegram,73,3,158,49,28,PureInvestments,Bittrex,3.9011,-34.4511,0,6767,target,2018-03-22
Telegram,74,1,101,66,3,PumpKingCrypto,None,3.6992,-62.878,0,10788,target,2018-01-22
Telegram,75,1,215,10,2,Big Pump Signal,Binance,5.114,4.0935,0,4058,target,2018-01-27
Telegram,76,3,200,6,1,Big Pump Signal,Bittrex,5.8281,0.9819,0,33107,target,2018-03-24
Telegram,77,6,121,6,5,Crypto4Pumps,None,0.8922,10.9286,0,3192,target,2018-06-24
Telegram,78,5,2036,1,1,MoonPumpSignals,None,23.0674,-44.6055,0,31875,target,2018-05-04
Telegram,79,5,333,9,11,PumpKingCrypto,None,2.4694,-34.0654,0,28608,obvious,2018-05-11
Telegram,80,2,380,19,14,Big Pump Signal,Binance,0.8515,-45.302,0,3490,target,2018-02-21
Telegram,81,5,165,42,63,PumpKingCrypto,Binance,1.4746,9.561,0,16201,target,2018-05-25
Telegram,82,3,149,9,1,PumpMasterBTC,Bittrex,17.011,17.6315,0,9940,target,2018-03-12
Telegram,83,1,629,6,1,CryptoPumpAlerts,Bittrex,19.5339,-55.6843,0,4780,target,2018-01-18
Telegram,84,3,55,20,1,Big Pump Signal,Bittrex,3.9115,-60.8881,0,6032,target,2018-03-08
Telegram,85,1,89,10,2,PumpHunters,Bittrex,8.8669,-21.3221,0,8460,target,2018-01-26
Telegram,86,5,200,23,73,AlphaPumpLeague,Bittrex,3.4419,6.4016,0,9167,target,2018-05-16
Telegram,87,5,842,8,12,Big Pump Signal,Other,8.6032,-54.4776,0,23831,target,2018-05-03
Telegram,88,3,179,14,12,Crypto4Pumps,Binance,4.6627,-66.0572,0,10947,target,2018-03-19
Telegram,89,4,364,12,3,PumpHunters,Bittrex,1.5338,-39.4402,0,3535,obvious,2018-04-08
Telegram,90,3,257,18,2,CryptoPumpAlerts,Bittrex,2.2309,-51.693,0,12659,target,2018-03-15
Telegram,91,1,802,11,5,AlphaPumpLeague,Bittrex,10.871,-52.7707,0,1550,target,2018-01-11
Telegram,92,4,60,10,15,ElitePumpGroup,None,2.5732,-0.7854,0,4883,target,2018-04-26
Telegram,93,5,485,17,11,Big Pump Signal,Bittrex,7.9963,9.5663,0,5296,target,2018-05-26
Telegram,94,5,209,14,1,PumpMasterBTC,Binance,3.0928,-37.3722,0,11781,target,2018-05-05
Telegram,95,1,574,5,2,MoonPumpSignals,None,2.7771,-41.3831,0,30088,target,2018-01-10
Telegram,96,4,120,18,1,PumpKingCrypto,Bittrex,1.9582,4.7058,0,8126,target,2018-04-13
Telegram,97,1,256,14,15,Crypto4Pumps,Binance,3.5354,0.7377,0,4988,obvious,2018-01-26
Telegram,98,1,228,29,5,MoonPumpSignals,None,8.0665,-46.2386,0,3755,target,2018-01-09
Telegram,99,1,102,6,1,AlphaPumpLeague,None,1.212,4.7908,0,13673,target,2018-01-22
Telegram,100,1,79,60,77,Big Pump Signal,None,7.3445,2.0019,0,5740,target,2018-01-02
Telegram,101,3,148,14,11,CryptoPumpAlerts,None,0.6642,1.1415,0,4426,target,2018-03-30
Telegram,102,3,281,6,2,AlphaPumpLeague,None,1.0886,-38.874,0,15081,target,2018-03-12
Telegram,103,5,127,9,54,CryptoPumpAlerts,Binance,1.552,-32.1788,0,18122,target,2018-05-09
Telegram,104,3,186,5,4,Big Pump Signal,Other,5.8189,-69.2093,0,3013,target,2018-03-23
Telegram,105,1,46,5,1,Big Pump Signal,Binance,1.009,7.1564,0,1916,target,2018-01-19
Telegram,106,6,179,23,18,ElitePumpGroup,None,1.8682,14.0102,0,6229,target,2018-06-15
Telegram,107,6,628,41,12,ElitePumpGroup,None,5.4013,15.599,0,2587,target,2018-06-27
Telegram,108,1,472,1,1,Big Pump Signal,Binance,3.3421,-63.9609,0,2305,target,2018-01-13
Telegram,109,3,231,4,2,Crypto4Pumps,None,8.0345,-56.8779,0,2813,target,2018-03-18
Telegram,110,2,312,19,12,PumpHunters,None,5.7255,2.4666,0,16341,target,2018-02-14
Telegram,111,6,119,14,1,ElitePumpGroup,Binance,9.4959,6.4166,0,11702,target,2018-06-05
Telegram,112,3,1076,11,4,Crypto4Pumps,None,15.5968,14.7007,0,53672,target,2018-03-11
Telegram,113,1,1602,4,1,PumpKingCrypto,None,17.8218,-54.45,0,3937,target,2018-01-19
Telegram,114,5,290,6,1,PumpHunters,Binance+Bittrex,1.0999,17.7622,0,20748,target,2018-05-04
Telegram,115,5,2036,3,1,Big Pump Signal,Other,58.7505,14.8486,0,10253,target,2018-05-22
Telegram,116,2,136,1,1,Crypto4Pumps,Binance,15.2588,7.3748,0,4232,obvious,2018-02-17
Telegram,117,3,81,6,2,AlphaPumpLeague,Binance,7.5992,-32.5766,0,5977,target,2018-03-21
Telegram,118,4,132,34,2,PumpMasterBTC,None,1.4874,15.2729,0,4215,target,2018-04-25
Telegram,119,2,205,34,10,CryptoPumpAlerts,None,4.4944,-38.9133,0,8412,target,2018-02-14
Telegram,120,3,1995,14,3,PumpMasterBTC,None,15.468,-19.1183,0,15538,target,2018-03-25
Telegram,121,5,194,18,9,MoonPumpSignals,None,10.6314,-40.6512,0,4958,obvious,2018-05-23
Telegram,122,5,115,2,1,CryptoRocketPumps,None,4.1521,-36.5135,0,13828,target,2018-05-08
Telegram,123,5,111,9,2,CryptoRocketPumps,Binance,0.7568,11.8392,0,19748,target,2018-05-09
Telegram,124,5,697,22,5,MoonPumpSignals,None,10.1837,-0.6162,0,23826,target,2018-05-14
Telegram,125,4,613,30,14,PumpKingCrypto,None,26.3006,-57.9998,0,2517,target,2018-04-03
Telegram,126,3,162,45,67,Big Pump Signal,Bittrex,3.9232,-1.233,0,6489,target,2018-03-18
Telegram,127,5,46,19,11,CoinPumpNation,Binance+Bittrex,0.4273,-43.3665,0,12300,target,2018-05-28
Telegram,128,1,91,5,10,CryptoPumpAlerts,None,12.686,-60.8856,0,2706,target,2018-01-25
Telegram,129,1,1174,5,7,MoonPumpSignals,None,25.4014,16.6615,0,2243,target,2018-01-22
Telegram,130,1,465,8,19,Big Pump Signal,None,9.2099,-36.6215,0,6615,target,2018-01-06
Telegram,131,5,265,43,107,PureInvestments,Other,3.4561,16.4133,0,4776,target,2018-05-25
Telegram,132,4,1340,6,15,CryptoRocketPumps,None,11.6807,6.6257,0,5849,target,2018-04-04
